precision,recall,threshold
0.01971830985915493,0.9895287958115183,0.0003709541051648557
0.019720367278797998,0.9895287958115183,0.0003709814918693155
0.019722425127830533,0.9895287958115183,0.0003710455202963203
0.019724483406386977,0.9895287958115183,0.00037223187973722816
0.019728601252609602,0.9895287958115183,0.00037236762000247836
0.01973066082054494,0.9895287958115183,0.0003725330752786249
0.019732720818542493,0.9895287958115183,0.0003727071452885866
0.019734781246736974,0.9895287958115183,0.0003728910814970732
0.019736842105263157,0.9895287958115183,0.00037318107206374407
0.019738903394255873,0.9895287958115183,0.00037412290112115443
0.019740965113850012,0.9895287958115183,0.0003746678994502872
0.019743027264180507,0.9895287958115183,0.00037476758006960154
0.019745089845382365,0.9895287958115183,0.00037488710950128734
0.019747152857590638,0.9895287958115183,0.00037515826988965273
0.01974921630094044,0.9895287958115183,0.00037535233423113823
0.019751280175566936,0.9895287958115183,0.0003754588251467794
0.01975540921919097,0.9895287958115183,0.0003755431098397821
0.019757474388459127,0.9895287958115183,0.0003756000369321555
0.019759539989545216,0.9895287958115183,0.00037582998629659414
0.019761606022584692,0.9895287958115183,0.0003759335377253592
0.01976367248771306,0.9895287958115183,0.00037628403515554965
0.019765739385065886,0.9895287958115183,0.0003763407003134489
0.019767806714778787,0.9895287958115183,0.0003767186717595905
0.01976987447698745,0.9895287958115183,0.00037693764897994697
0.019771942671827598,0.9895287958115183,0.00037735741352662444
0.01977401129943503,0.9895287958115183,0.00037748945760540664
0.01977608035994559,0.9895287958115183,0.00037773046642541885
0.019778149853495186,0.9895287958115183,0.00037807071930728853
0.01978021978021978,0.9895287958115183,0.00037961575435474515
0.01978229014025539,0.9895287958115183,0.000380070909159258
0.01978436093373809,0.9895287958115183,0.0003803852014243603
0.01978643216080402,0.9895287958115183,0.0003805676242336631
0.01978850382158936,0.9895287958115183,0.00038064763066358864
0.019790575916230367,0.9895287958115183,0.00038147150189615786
0.019792648444863337,0.9895287958115183,0.0003816835815086961
0.019794721407624633,0.9895287958115183,0.0003817676624748856
0.019796794804650675,0.9895287958115183,0.0003819609701167792
0.019798868636077938,0.9895287958115183,0.00038228207267820835
0.019800942902042956,0.9895287958115183,0.00038241202128119767
0.019803017602682313,0.9895287958115183,0.00038278696592897177
0.019805092738132662,0.9895287958115183,0.00038370967376977205
0.019807168308530708,0.9895287958115183,0.0003838000411633402
0.019809244314013204,0.9895287958115183,0.0003838294942397624
0.01981132075471698,0.9895287958115183,0.0003839753335341811
0.019813397630778908,0.9895287958115183,0.0003842684382107109
0.01981547494233592,0.9895287958115183,0.0003846270847134292
0.01981755268952501,0.9895287958115183,0.00038503538235090673
